Round,Player_1,Player_2
1,Sinner J.,Rinderknech A.
1,Atmane T.,Gasquet R.
1,Lehecka J.,Thompson J.
1,Ruiz P. Llamas,Fokina A. Davidovich
1,Rublev A.,Harris L.
1,Marterer M.,Walton A.
1,Carabelli C. Ugo,Munar J.
1,Jarry N.,Fils A.
1,Minaur A. de,Djere L.
1,Bublik A.,Duckworth J.
1,Basilashvili N.,Rocha H.
1,Muller A.,Mensik J.
1,Hurkacz H.,Fonseca J.
1,Herbert P.,Bonzi B.
1,Monfils G.,Dellien H.
1,Bellucci M.,Draper J.
1,Zverev A.,Tien L.
1,Jong J. De,Passaro F.
1,Cilic M.,Cobolli F.
1,Arnaldi M.,Auger-Aliassime F.
1,Cerundolo F.,Diallo G.
1,Giron M.,Griekspoor T.
1,Shevchenko A.,Lajovic D.
1,Quinn E.,Dimitrov G.
1,Medvedev D.,Norrie C.
1,Kovacevic A.,Gomez F.
1,Fearnley J.,Wawrinka S.
1,O'Connell C.,Humbert U.
1,Shapovalov D.,Martinez P.
1,Misolic F.,Bu Y.
1,Moutet C.,Tabur C.
1,McDonald M.,Djokovic N.
1,Musetti L.,Hanfmann Y.
1,Royer V.,Galan D.
1,Opelka R.,Hijikata R.
1,Navone M.,Nakashima B.
1,Machac T.,Halys Q.
1,Kecmanovic M.,Baez S.
1,Nava E.,Zandschulp B. Van de
1,Agut R. Bautista,Rune H.
1,Tiafoe F.,Safiullin R.
1,Busta P. Carreno,Comesana F.
1,Brooksby J.,Faria J.
1,Darderi L.,Korda S.
1,Michelsen A.,Cerundolo J.
1,Majchrzak K.,Medjedovic H.
1,Kopriva V.,Monteiro T.
1,Altmaier D.,Fritz T.
1,Ruud C.,Ramos-Vinolas A.
1,Jacquet K.,Borges N.
1,Tabilo A.,Cazaux A.
1,Nishioka Y.,Popyrin A.
1,Khachanov K.,Vukic A.
1,Ofner S.,Struff J.
1,Fucsovics M.,Schoolkate T.
1,Moller E.,Paul T.
1,Shelton B.,Sonego L.
1,Gaston H.,Blanchet U.
1,Hassan B.,Gigante M.
1,Etcheverry T.,Tsitsipas S.
1,Perricard G. Mpetshi,Bergs Z.
1,Tirante T.,Dzumhur D.
1,Marozsan F.,Nardi L.
1,Zeppieri G.,Alcaraz C.
