Round,Player_1,Player_2,Pred_Winner
2,Sinner J.,Gasquet R.,Sinner J.
2,Lehecka J.,Fokina A. Davidovich,Fokina A. Davidovich
2,Rublev A.,Walton A.,Rublev A.
2,Munar J.,Fils A.,Fils A.
2,Minaur A. de,Bublik A.,Minaur A. de
2,Rocha H.,Mensik J.,Mensik J.
2,Fonseca J.,Herbert P.,Fonseca J.
2,Monfils G.,Draper J.,Draper J.
2,Zverev A.,Jong J. De,Zverev A.
2,Cobolli F.,Arnaldi M.,Arnaldi M.
2,Diallo G.,Griekspoor T.,Griekspoor T.
2,Shevchenko A.,Quinn E.,Shevchenko A.
2,Norrie C.,Gomez F.,Norrie C.
2,Fearnley J.,Humbert U.,Humbert U.
2,Shapovalov D.,Misolic F.,Shapovalov D.
2,Moutet C.,Djokovic N.,Djokovic N.
2,Musetti L.,Galan D.,Musetti L.
2,Opelka R.,Navone M.,Navone M.
2,Halys Q.,Kecmanovic M.,Kecmanovic M.
2,Nava E.,Rune H.,Rune H.
2,Tiafoe F.,Busta P. Carreno,Tiafoe F.
2,Brooksby J.,Korda S.,Brooksby J.
2,Cerundolo J.,Medjedovic H.,Medjedovic H.
2,Kopriva V.,Altmaier D.,Altmaier D.
2,Ruud C.,Borges N.,Ruud C.
2,Tabilo A.,Popyrin A.,Popyrin A.
2,Khachanov K.,Ofner S.,Khachanov K.
2,Fucsovics M.,Paul T.,Paul T.
2,Shelton B.,Gaston H.,Shelton B.
2,Gigante M.,Tsitsipas S.,Tsitsipas S.
2,Perricard G. Mpetshi,Dzumhur D.,Perricard G. Mpetshi
2,Marozsan F.,Alcaraz C.,Alcaraz C.
3,Sinner J.,Fokina A. Davidovich,Sinner J.
3,Rublev A.,Fils A.,Fils A.
3,Minaur A. de,Mensik J.,Minaur A. de
3,Fonseca J.,Draper J.,Draper J.
3,Zverev A.,Arnaldi M.,Zverev A.
3,Griekspoor T.,Shevchenko A.,Griekspoor T.
3,Norrie C.,Humbert U.,Norrie C.
3,Shapovalov D.,Djokovic N.,Djokovic N.
3,Musetti L.,Navone M.,Musetti L.
3,Kecmanovic M.,Rune H.,Rune H.
3,Tiafoe F.,Brooksby J.,Brooksby J.
3,Medjedovic H.,Altmaier D.,Medjedovic H.
3,Ruud C.,Popyrin A.,Ruud C.
3,Khachanov K.,Paul T.,Paul T.
3,Shelton B.,Tsitsipas S.,Tsitsipas S.
3,Perricard G. Mpetshi,Alcaraz C.,Alcaraz C.
4,Sinner J.,Fils A.,Sinner J.
4,Minaur A. de,Draper J.,Draper J.
4,Zverev A.,Griekspoor T.,Zverev A.
4,Norrie C.,Djokovic N.,Djokovic N.
4,Musetti L.,Rune H.,Rune H.
4,Brooksby J.,Medjedovic H.,Brooksby J.
4,Ruud C.,Paul T.,Paul T.
4,Tsitsipas S.,Alcaraz C.,Alcaraz C.
5,Sinner J.,Draper J.,Sinner J.
5,Zverev A.,Djokovic N.,Djokovic N.
5,Rune H.,Brooksby J.,Rune H.
5,Paul T.,Alcaraz C.,Alcaraz C.
6,Sinner J.,Djokovic N.,Sinner J.
6,Rune H.,Alcaraz C.,Alcaraz C.
7,Sinner J.,Alcaraz C.,Sinner J.
