Player,Elo_Hard,Elo_Clay,Elo_Grass,Rank,Pts,Elo,Elo_diff,surface_winrate,rank_diff,pts_diff,win_last_5_diff,win_last_25_diff,win_last_50_diff,win_last_100_diff,win_last_250_diff,diff_N_games,elo_grad_20_diff,elo_grad_35_diff,elo_grad_50_diff,elo_grad_100_diff,h2h_diff,h2h_surface_diff,elo_plus_form,elo_form_ratio,elo_x_form
Gerasimov E.,1523.1731082933884,1492.628590703778,1523.8448917455628,304.0,170.0,1567.7499442822318,-101.3043167967246,0.3793103448275862,-211.0,449.0,-0.2,-0.12,-0.1,-0.1180851063829787,-0.117374205909045,117.0,-1.298153160458014,-0.5587149295234926,-0.7104674978483854,-0.9790080392102256,0.0,0.0,,,
Koubek S.,1594.8857548741796,1482.9535679026783,1404.530015579454,173.0,312.0,1565.1985064741918,-179.81293010921104,0.4953271028037383,110.0,-458.0,-0.2,-0.2,-0.1,-0.1399999999999999,-0.192,-75.0,-4.420435081599112,0.7196874703493905,2.296958866389009,1.284331468947105,-2.0,-2.0,,,
Harris L.,1581.7259315344884,1476.060078563408,1516.9533039257349,227.0,244.0,1550.2855506509836,173.6897867909895,0.6774193548387096,-212.0,2576.0,0.6000000000000001,0.24,0.16,0.1099999999999999,0.1973533834586466,369.0,4.252218988916536,0.4061904520317316,2.699293808924149,-1.4434935478161266,2.0,0.0,,,
Becker B.,1479.1732330766797,1394.508023288295,1587.773918211302,163.0,365.0,1487.1203581373936,80.74036859399871,0.380281690140845,-98.0,406.0,0.4,-0.0799999999999999,0.12,0.0299999999999999,0.023753086419753,-112.0,0.6635529166375931,-1.9902997344209064,1.6201973064952429,-0.5212788346361459,0.0,0.0,,,
Salzenstein J.,1434.394456679948,1501.0438672430173,1492.5118867027766,495.0,47.0,1427.2799636685263,219.3919738033694,0.2916666666666667,-459.0,841.0,0.4,0.3199999999999999,0.1944444444444444,0.2344444444444444,0.1944444444444444,142.0,0.4089586106694809,1.715394447428772,1.3847267114880424,2.048997344546326,0.0,0.0,,,
Widom T.,1536.7428695192305,,,232.0,326.0,1542.7284381035747,-262.06775632811696,0.2,220.0,-2699.0,-0.2,-0.0444444444444444,-0.0844444444444444,-0.1244444444444444,-0.1004444444444444,-390.0,1.705636589679716,3.560425551894085,2.2156737601998793,0.447283312080765,0.0,0.0,,,
Krajan Z.,1458.6000509307614,1427.41355972275,1500.0,681.0,23.0,1402.041574462633,-452.40039534311904,0.3076923076923077,666.0,-1477.0,-0.3999999999999999,-0.48,-0.3641379310344828,-0.4441379310344827,-0.4343420126671358,-216.0,-8.782800581909465,-4.471484985699233,-1.094453171963928,-0.8679615705642323,0.0,0.0,,,
Bangoura S.,1500.0,,,313.0,153.0,1500.0,-26.56546929850697,0.5,223.0,-451.0,0.3,0.18,0.14,0.131578947368421,0.131578947368421,-57.0,1.8303590460166672,-0.8014065959196355,-1.0455164125957253,-0.4375981862479284,0.0,0.0,,,
Gambill J. M.,1509.6483448367917,,,34.0,,1510.5731379517665,-67.38637354020989,0.0,-34.0,0.0,0.2666666666666666,0.0666666666666666,0.1466666666666666,0.1952380952380952,0.1952380952380952,-67.0,-0.8839966546655774,-1.6785766183303232,-1.1730896385330245,-0.6205933367166654,0.0,0.0,,,
Gray A.,,,1500.8285822681212,288.0,173.0,1503.3529011956898,-317.5575039073983,0.5,274.0,-2872.0,-0.5,-0.2199999999999999,-0.2199999999999999,-0.1099999999999999,-0.044,-269.0,-0.2378729247058345,-0.216745748104053,-3.216597274855508,-0.8408673154121447,0.0,0.0,,,
Jubb P.,,,1479.5750830967509,201.0,301.0,1512.9012755672964,-88.11128073193595,0.25,127.0,-466.0,0.1999999999999999,-0.145,-0.065,-0.0535714285714285,-0.0535714285714285,-48.0,-5.254050540154003,-2.821536195610926,-2.1871117882401996,-0.8290540625364815,0.0,0.0,,,
Amritraj P.,1384.9686957179074,,1556.901899414195,308.0,142.0,1479.5730844451368,251.8399127325713,0.7647058823529411,-244.0,613.0,0.1999999999999999,0.12,0.1363636363636363,0.1863636363636364,0.2603636363636363,603.0,-2.547217702415833,1.3245390822861216,-0.2761410601976604,-0.8840158575283591,0.0,0.0,,,
Dorsch B.,1495.190986665281,,1500.0,236.0,166.0,1487.2407115987935,99.44578392071251,0.0,132.0,-249.0,-0.4,-0.24,-0.2285714285714285,-0.2285714285714285,-0.2285714285714285,-33.0,3.3752298567921115,2.622190211287742,1.8355331479014192,0.9177665739507096,0.0,0.0,,,
Krueger M.,1474.2447084783569,1485.8578854915656,1477.0162343432305,141.0,416.0,1468.9112262587612,-255.3176096550903,0.5,75.0,-457.0,0.2,-0.24,-0.27875,-0.27875,-0.37075,-569.0,1.2585205245393354,1.83153706163871,0.6013209554306513,2.423464248317932,0.0,0.0,,,
Van Lottum J.,1509.012134711578,,,108.0,,1510.1768475153558,-144.31782750433672,0.5,85.0,0.0,0.0999999999999999,-0.0999999999999999,-0.0799999999999999,-0.16,-0.1544715447154471,-244.0,2.235425048169816,0.7717049805335137,2.042770978684912,0.4405539765704498,0.0,0.0,,,
Cakl T.,1443.689081737343,1511.4356754080068,,283.0,135.0,1457.252917884504,161.49854054819616,0.5,-224.0,470.0,0.3999999999999999,0.3272727272727272,0.1923890063424947,0.1923890063424947,0.1923890063424947,32.0,8.724627432007527,3.614219091520233,3.2755828298024428,1.6377914149012214,0.0,0.0,,,
Vicente F.,1437.8630118467015,1399.1372210762202,1455.3528372805315,268.0,245.0,1343.7969935436763,165.75760020912048,0.5,-132.0,318.0,0.2,0.0799999999999999,0.08,0.0999999999999999,0.0833057851239669,105.0,1.4395873195063025,0.9446565481904856,0.5966874745985615,-0.4722421779422801,0.0,0.0,,,
Borg L.,1469.2384448266598,1501.311584396968,,590.0,57.0,1476.0665418542835,104.69360601514154,0.3571428571428571,-520.0,728.0,0.2,0.3133333333333333,0.2133333333333333,0.246031746031746,0.246031746031746,57.0,3.74736775969958,2.480915815574008,0.4369684751226396,1.0978068459508064,0.0,0.0,,,
Silva F.F.,,1512.262295191456,,263.0,198.0,1511.1811460749932,5.191697871251108,0.5,-57.0,89.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3297291262441946,0.1884166435681111,0.1318916504976777,0.0659458252488388,0.0,0.0,,,
Tebbutt M.,1484.0,,,506.0,,1468.0338330211207,24.652097106819383,0.0,429.0,0.0,-0.2,-0.32,-0.4,-0.4,-0.4,-49.0,2.9626068451807557,0.7469690148524738,0.7985783345508071,0.3992891672754035,0.0,0.0,,,
Rettenmaier T.,1516.2371985848226,,1514.6068921402057,297.0,105.0,1523.1386650400268,79.90918974948636,0.5074626865671642,-218.0,395.0,0.1333333333333334,-0.3066666666666666,-0.1866666666666666,-0.0966666666666666,-0.1755162241887905,223.0,-0.8190949232117646,-2.5715381668293436,-2.3404404614285386,-0.0560433935546143,0.0,0.0,,,
Larose S.,1529.7948516315848,,,193.0,,1538.6126978188795,-56.52932634691865,0.5,151.0,0.0,0.0,-0.0654545454545454,-0.0054545454545454,-0.0202020202020202,-0.0202020202020202,-88.0,-0.6439295547058577,0.3113421123852471,0.8828680536421734,-0.4793405845037318,0.0,0.0,,,
Black W.,1443.3187779268749,,1474.7103773416186,395.0,,1468.604325841211,124.85341696094906,0.5,-364.0,0.0,0.2,0.2,0.1788888888888889,0.0688888888888888,0.0484126984126984,69.0,0.1854914237060372,3.2144475582878194,3.2664357523031047,2.156270843374082,0.0,0.0,,,
Lenz J.,1500.0,1500.0,,270.0,162.0,1495.412631528031,-234.47130593347015,0.5,208.0,-735.0,-0.6,-0.52,-0.54,-0.55,-0.5956284153005464,-182.0,-3.037508626915712,0.39961415717955,0.7466981578867763,0.6392781678689948,0.0,0.0,,,
Ram A.,1431.9750716050778,,1500.0,233.0,176.0,1428.4332453726151,-55.658120226809615,0.25,163.0,-365.0,0.0,-0.1688888888888889,-0.1581196581196581,-0.1581196581196581,-0.1581196581196581,-17.0,-5.106428458220785,-1.6608650650186518,-1.1626055455130564,-0.5813027727565282,0.0,0.0,,,
Fasching A.,,1500.0,,700.0,,1500.0,-5.726280060555837,0.5,623.0,0.0,-0.0999999999999999,0.06,0.0517241379310344,0.0517241379310344,0.0517241379310344,-29.0,0.355460010230081,-0.3984054844037798,-0.2788838390826458,-0.1394419195413229,0.0,0.0,,,
Saulnier C.,1530.442334336319,1433.3278879163488,1477.9935690123089,259.0,151.0,1536.0993444039411,-253.0324640395022,0.4909090909090909,242.0,-1214.0,-0.4,-0.2799999999999999,-0.28,-0.1736363636363636,-0.2079220779220779,87.0,-2.920007694226206,-4.422603902286632,-3.1937360339096452,-3.62909579566076,0.0,0.0,,,
Draper J.,1956.5267360758676,1687.4224151032658,1649.1288194302315,5.0,4610.0,1988.7253867890056,333.55112150388027,0.5,-57.0,3695.0,0.2,0.36,0.38,0.2299999999999999,0.1888571428571428,-150.0,0.3127622873330098,4.657784813111201,5.873792643899396,2.1223273900720776,2.0,0.0,,,
Uppal V.,1500.0,,,526.0,43.0,1500.0,-65.03456235123008,0.3,-427.0,381.0,-0.0999999999999999,-0.2199999999999999,-0.1599999999999999,-0.15,-0.1339285714285714,112.0,-0.2995045969422222,-1.9421322666705496,-0.1067145617667438,-0.7235876914654387,0.0,0.0,,,
Jones G.,1472.7568143594167,,1500.0,373.0,108.0,1470.5269018464685,340.43345538012545,0.6636363636363637,-274.0,447.0,0.3999999999999999,0.4333333333333333,0.4733333333333334,0.5333333333333333,0.5133333333333334,357.0,-2.8678458492880052,-1.7000780532587083,-1.2094231281671457,0.4665971054323996,0.0,0.0,,,
Vicente M.,,1500.0,,188.0,211.0,1500.0,31.759755801251004,0.543859649122807,-123.0,374.0,-0.3,-0.06,-0.12,-0.1099999999999999,-0.1188340807174888,223.0,2.8609223282427707,1.6677303335657665,-0.0867880096445787,0.785994509912764,0.0,0.0,,,
Tarallo S.,,1500.0,,151.0,,1479.853570276353,-31.64094318611501,0.5,-107.0,0.0,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-3.0,1.5099506394977538,0.8628289368558594,0.6039802557991015,0.3019901278995507,0.0,0.0,,,
Mazarakis V.,1493.116494214706,1477.8805331291433,,126.0,344.0,1468.1551830550811,-231.88167105819775,0.0,82.0,-472.0,-0.6,-0.64,-0.6052631578947368,-0.6052631578947368,-0.6052631578947368,-34.0,-6.134876453107734,-6.12917294559624,-4.874489958840631,-2.4372449794203157,0.0,0.0,,,
Klaasen R.,1500.6350310442474,,1532.348492377491,307.0,148.0,1521.2335567676269,16.59427872194874,1.0,197.0,-359.0,0.6,0.2114285714285714,0.1471861471861471,0.1471861471861471,0.1471861471861471,-26.0,3.896870360752643,0.54066867683638,0.3784680737854659,0.1892340368927329,0.0,0.0,,,
Freelove O.,1500.0,,,620.0,,1500.0,64.09558994404529,0.5,-471.0,0.0,0.3,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,9.0,0.7606748822661757,0.4346713612949575,0.3042699529064703,0.1521349764532351,0.0,0.0,,,
Seppi A.,1526.155424808895,1467.257876892704,1563.1614898593436,141.0,466.0,1514.7007501731289,79.092607478123,0.6,-71.0,392.0,-0.2,0.08,-0.06,0.01,0.0119999999999999,-252.0,6.7546965307006985,5.575691425189994,-0.3156343910831902,0.701882198754654,0.0,1.0,,,
Lajola D.,1500.0,,,719.0,22.0,1500.0,0.0,0.5,281.0,-59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Vasek R.,,1500.0,,470.0,,1500.0,-11.886900194660711,0.6666666666666666,-365.0,0.0,-0.0999999999999999,0.0,0.0,0.0,0.0,8.0,0.7134005450850281,0.4076574543343018,0.2853602180340113,0.1426801090170056,0.0,0.0,,,
