Date,Player,Elo
2000-06-12,Alami K.,1484.0
2000-06-12,Burrieza O.,1516.0
2000-06-12,Black B.,1484.0
2000-06-12,Pavel A.,1516.0
2000-06-12,Goldstein P.,1484.0
2000-06-12,Santoro F.,1516.0
2000-06-12,Kucera K.,1516.0
2000-06-12,Enqvist T.,1484.0
2000-06-12,Dupuis A.,1484.0
2000-06-12,Agassi A.,1516.0
2000-06-12,Martin T.,1484.0
2000-06-12,Mirnyi M.,1516.0
2000-06-12,Kiefer N.,1484.0
2000-06-12,Krajicek R.,1516.0
2000-06-12,Santoro F.,1499.263693206478
2000-06-12,Gimelstob J.,1516.736306793522
2000-06-12,Bryan B.,1516.0
2000-06-12,Henman T.,1484.0
2000-06-12,Wheaton D.,1516.0
2000-06-12,Vinciguerra A.,1484.0
2000-06-12,Siemerink J.,1484.0
2000-06-12,Pozzi G.,1516.0
2000-06-12,Sanguinetti D.,1516.0
2000-06-12,Lee M.,1484.0
2000-06-12,Ilie A.,1484.0
2000-06-12,Sa A.,1516.0
2000-06-12,Rusedski G.,1516.0
2000-06-12,Ferreira W.,1484.0
2000-06-12,Philippoussis M.,1516.0
2000-06-12,Arthurs W.,1484.0
2000-06-12,Sluiter R.,1484.736306793522
2000-06-12,Pavel A.,1531.263693206478
2000-06-12,Parmar A.,1516.0
2000-06-12,Draper S.,1484.0
2000-06-12,Nestor D.,1516.0
2000-06-12,Hill M.,1484.0
2000-06-12,Hewitt L.,1516.736306793522
2000-06-12,Wheaton D.,1499.263693206478
2000-06-12,Lareau S.,1484.736306793522
2000-06-12,Nestor D.,1531.263693206478
2000-06-12,Agenor R.,1484.736306793522
2000-06-12,Pozzi G.,1531.263693206478
2000-06-12,Safin M.,1516.736306793522
2000-06-12,Rusedski G.,1499.263693206478
2000-06-12,Mirnyi M.,1531.263693206478
2000-06-12,Hantschk M.,1484.736306793522
2000-06-12,Llodra M.,1484.0
2000-06-12,Sampras P.,1516.0
2000-06-12,Sampras P.,1500.0339081301693
2000-06-12,Hewitt L.,1532.7023986633528
2000-06-12,Sampras P.,1516.768656696543
2000-06-12,Sanguinetti D.,1499.2652514336262
2000-06-12,Pozzi G.,1515.329947662548
2000-06-12,Hewitt L.,1548.6361442072828
2000-06-12,Sanguinetti D.,1516.7346818088686
2000-06-12,Pavel A.,1513.7942628312355
2000-06-12,Pozzi G.,1531.3947125402337
2000-06-12,Safin M.,1500.6715419158363
2000-06-12,Sanguinetti D.,1533.4033777652526
2000-06-12,Nestor D.,1514.594997250094
2000-06-12,Pioline C.,1516.0
2000-06-12,Gambill J.M.,1484.0
2000-06-12,Boutter J.,1484.0309256095827
2000-06-12,Safin M.,1516.6406163062536
2000-06-12,Gimelstob J.,1500.7023986633528
2000-06-12,Pioline C.,1532.0339081301693
2000-06-12,Pavel A.,1529.895839417035
2000-06-12,Kucera K.,1499.8984234142006
2000-06-12,Ivanisevic G.,1486.2252606884822
2000-06-12,Hewitt L.,1562.4108835188006
2000-06-12,Bryan B.,1532.7024671725246
2000-06-12,Mirnyi M.,1514.5612260339533
2000-06-12,Grosjean S.,1485.5335601950626
2000-06-12,Sanguinetti D.,1547.86981757019
2000-06-12,Sampras P.,1532.7332588052739
2000-06-12,Parmar A.,1500.0353978912692
2000-06-12,Rusedski G.,1515.2976013366472
2000-06-12,Knippschild J.,1483.9660918698307
2000-06-12,Pioline C.,1517.4292658214745
2000-06-12,Hewitt L.,1577.0155258274954
2000-06-12,Srichaphan P.,1483.263693206478
2000-06-12,Martin T.,1500.736306793522
2000-06-12,Philippoussis M.,1498.6321695060687
2000-06-12,Ivanisevic G.,1503.5930911824134
2000-06-12,Cowan B.,1483.995322225488
2000-06-12,Kucera K.,1515.9031011887125
2000-06-12,Vicente F.,1484.0
2000-06-12,Kafelnikov Y.,1516.0
2000-06-12,Lapentti N.,1516.0
2000-06-12,Goellner M.K.,1484.0
2000-06-12,Vinck C.,1516.0
2000-06-12,Kulti N.,1484.0
2000-06-12,Larsson M.,1484.0
2000-06-12,Federer R.,1516.0
2000-06-12,Schalken S.,1484.0
2000-06-12,Rafter P.,1516.0
2000-06-12,Prinosil D.,1516.0
2000-06-12,Johansson T.,1484.0
2000-06-12,Ruud C.,1484.0
2000-06-12,Portas A.,1516.0
2000-06-12,Schuettler R.,1484.0
2000-06-12,Medvedev A.,1516.0
2000-06-12,Prinosil D.,1532.0
2000-06-12,Lapentti N.,1500.0
2000-06-12,Ljubicic I.,1516.0
2000-06-12,Haas T.,1484.0
2000-06-12,Moya C.,1516.0
2000-06-12,Caratti C.,1484.0
