Date,Player,Elo
2000-01-03,Dosedel S.,1516.0
2000-01-03,Ljubicic I.,1484.0
2000-01-03,Luxa P.,1484.0
2000-01-03,Gaudio G.,1516.0
2000-01-03,El Aynaoui Y.,1516.0
2000-01-03,Dupuis A.,1484.0
2000-01-03,Arazi H.,1484.0
2000-01-03,Cherkasov A.,1516.0
2000-01-03,Caratti C.,1516.0
2000-01-03,Heuberger I.,1484.0
2000-01-03,Al-Alawi S.K.,1484.0
2000-01-03,Berasategui A.,1516.0
2000-01-03,Bastl G.,1516.0
2000-01-03,Novak J.,1484.0
2000-01-03,Hantschk M.,1484.0
2000-01-03,Golmard J.,1516.0
2000-01-03,Ishii Y.,1484.0
2000-01-03,Vanek J.,1516.0
2000-01-03,Ketola T.,1483.263693206478
2000-01-03,Hantschk M.,1500.736306793522
2000-01-03,Golmard J.,1531.263693206478
2000-01-03,Delgado J.,1484.736306793522
2000-01-03,Manta L.,1484.0
2000-01-03,Damm M.,1516.0
2000-01-03,Sanguinetti D.,1516.0
2000-01-03,Vinciguerra A.,1484.0
2000-01-03,Paes L.,1484.0
2000-01-03,Pioline C.,1516.0
2000-01-03,Manta L.,1500.736306793522
2000-01-03,Tabara M.,1483.263693206478
2000-01-03,Vanek J.,1498.4968829087939
2000-01-03,Ketola T.,1500.766810297684
2000-01-03,Hantschk M.,1516.7023986633528
2000-01-03,Behrend T.,1484.0339081301693
2000-01-03,Jonsson F.,1485.4358728782763
2000-01-03,Golmard J.,1545.8278203282016
2000-01-03,Delgado J.,1501.4387739660467
2000-01-03,Stanoytchev O.,1483.2975328274754
2000-01-03,Agenor R.,1484.736306793522
2000-01-03,Damm M.,1531.263693206478
2000-01-03,Vinciguerra A.,1500.736306793522
2000-01-03,Lopez-Moron A.,1483.263693206478
2000-01-03,Puerta M.,1484.0
2000-01-03,Mirnyi M.,1516.0
2000-01-03,Pioline C.,1532.0
2000-01-03,Sanguinetti D.,1500.0
2000-01-03,Kiefer N.,1516.0
2000-01-03,Tarango J.,1484.0
2000-01-03,El Aynaoui Y.,1499.263693206478
2000-01-03,Schuettler R.,1516.736306793522
2000-01-03,Squillari F.,1484.0
2000-01-03,Schalken S.,1516.0
2000-01-03,Santoro F.,1516.736306793522
2000-01-03,Kiefer N.,1499.263693206478
2000-01-03,Mirnyi M.,1500.0339081301693
2000-01-03,Schuettler R.,1532.7023986633528
2000-01-03,Santoro F.,1532.7023986633528
2000-01-03,Bastl G.,1500.0339081301693
2000-01-03,Schalken S.,1499.2298601853572
2000-01-03,Kiefer N.,1516.0338330211207
2000-01-03,El Aynaoui Y.,1515.2976013366472
2000-01-03,Tillstrom M.,1483.9660918698307
2000-01-03,Cherkasov A.,1498.5289501297439
2000-01-03,Tillstrom M.,1501.4371417400869
2000-01-03,Schuettler R.,1547.200829331975
2000-01-03,Vacek D.,1485.5015693313778
2000-01-03,Tillstrom M.,1517.3709592946027
2000-01-03,Ivanisevic G.,1484.0661824454842
2000-01-03,Santoro F.,1547.200829331975
2000-01-03,van Lottum J.,1485.5015693313778
2000-01-03,Marin J.A.,1484.0015615270963
2000-01-03,Mirnyi M.,1516.032346603073
2000-01-03,Kiefer N.,1532.032274952924
2000-01-03,Caratti C.,1500.0015580681968
2000-01-03,Gaudio G.,1499.9676533902368
2000-01-03,El Aynaoui Y.,1531.3299479464104
2000-01-03,Bastl G.,1516.768656696543
2000-01-03,Berasategui A.,1499.2652514336262
2000-01-03,Vicente F.,1483.3327098835348
2000-01-03,Vacek D.,1502.168859447843
2000-01-03,Siemerink J.,1483.263693206478
2000-01-03,Squillari F.,1500.736306793522
2000-01-03,Schuettler R.,1561.0404256902639
2000-01-03,Sanchez J.,1486.1604036417111
2000-01-03,Diaz J.,1483.9645338089533
2000-01-03,Schalken S.,1515.265326376404
2000-01-03,Santoro F.,1561.0404256902639
2000-01-03,Burgsmuller L.,1486.1604036417111
2000-01-03,Balcells J.,1484.0
2000-01-03,Henman T.,1516.0
2000-01-03,Hantschk M.,1533.4064243463295
2000-01-03,Pioline C.,1515.2959743170234
2000-01-03,Vinck C.,1484.0
2000-01-03,Stoltenberg J.,1516.0
2000-01-03,Lisnard J.,1484.736306793522
2000-01-03,Henman T.,1531.263693206478
2000-01-03,Grosjean S.,1516.0
2000-01-03,Gambill J.M.,1484.0
2000-01-03,Dosedel S.,1499.263693206478
2000-01-03,Escude N.,1516.736306793522
2000-01-03,Enqvist T.,1516.0
2000-01-03,Federer R.,1484.0
